filename	FWHM	M5SIGMA	FOM_dist
257A.211207.1057485_ooi_i_v1_N6.sw.fits	2.726329	23.1439	-1.45
257A.211228.1066431_ooi_i_v1_N6.sw.fits	2.749248	23.1903	-1.414
257A.220116.1072604_ooi_i_v1_N6.sw.fits	2.807767	22.4085	-1.313
257A.220121.1074458_ooi_i_v1_N6.sw.fits	2.864917	22.8614	-1.231
257A.211029.1046937_ooi_i_v1_N6.sw.fits	2.908674	17.6129	-1.1
257A.220109.1070377_ooi_i_v1_N6.sw.fits	3.045305	22.5361	-0.962
257A.211025.1046025_ooi_i_v1_N6.sw.fits	3.278916	22.6155	-0.642
257A.211201.1056029_ooi_i_v1_N6.sw.fits	3.346923	22.8071	-0.555
257A.210923.1036428_ooi_i_v1_N6.sw.fits	3.362915	22.4754	-0.53
257A.211210.1058320_ooi_i_v1_N6.sw.fits	3.384115	23.0176	-0.51
257A.220123.1075168_ooi_i_v1_N6.sw.fits	3.440634	22.8008	-0.435
257A.210926.1037677_ooi_i_v1_N6.sw.fits	3.488793	22.7479	-0.374
257A.211020.1044343_ooi_i_v1_N6.sw.fits	3.639952	22.2882	-0.184
257A.211128.1055319_ooi_i_v1_N6.sw.fits	3.694435	22.8799	-0.127
257A.211223.1065248_ooi_i_v1_N6.sw.fits	3.723244	22.3854	-0.087
257A.220103.1069022_ooi_i_v1_N6.sw.fits	3.876018	22.8606	0.082
257A.220118.1073299_ooi_i_v1_N6.sw.fits	3.951346	21.9379	0.177
257A.211014.1042446_ooi_i_v1_N6.sw.fits	3.958665	22.4588	0.178
257A.210917.1034043_ooi_i_v1_N6.sw.fits	4.014437	22.5327	0.238
257A.211216.1062092_ooi_i_v1_N6.sw.fits	4.033024	21.8685	0.266
257A.211219.1063399_ooi_i_v1_N6.sw.fits	4.03669	21.8822	0.27
257A.211213.1060295_ooi_i_v1_N6.sw.fits	4.073755	22.8923	0.297
257A.211023.1045336_ooi_i_v1_N6.sw.fits	4.091786	22.3068	0.324
257A.210920.1035197_ooi_i_v1_N6.sw.fits	4.096183	22.2766	0.329
257A.210921.1035604_ooi_i_v1_N6.sw.fits	4.101117	22.2199	0.335
257A.211104.1048198_ooi_i_v1_N6.sw.fits	4.193131	22.7436	0.425
257A.210924.1036921_ooi_i_v1_N6.sw.fits	4.67568	22.3771	0.902
257A.211107.1049052_ooi_i_v1_N6.sw.fits	4.833819	22.4249	1.046
257A.210920.1035186_ooi_i_v1_N6.sw.fits	4.851056	22.0747	1.066
257A.211222.1064861_ooi_i_v1_N6.sw.fits	5.023686	22.2943	1.215
